Key,English,简体中文
effect.minecraft.water_breathing,Water Breathing,水下呼吸
effect.minecraft.weakness,Weakness,虚弱
effect.minecraft.wither,Wither,凋零
effect.none,No Effects,无效果
enchantment.level.1,I,I
enchantment.level.10,X,X
enchantment.level.2,II,II
enchantment.level.3,III,III
enchantment.level.4,IV,IV
enchantment.level.5,V,V
enchantment.level.6,VI,VI
enchantment.level.7,VII,VII
enchantment.level.8,VIII,VIII
enchantment.level.9,IX,IX
enchantment.minecraft.aqua_affinity,Aqua Affinity,水下速掘
enchantment.minecraft.bane_of_arthropods,Bane of Arthropods,节肢杀手
enchantment.minecraft.binding_curse,Curse of Binding,绑定诅咒
enchantment.minecraft.blast_protection,Blast Protection,爆炸保护
enchantment.minecraft.channeling,Channeling,引雷
enchantment.minecraft.depth_strider,Depth Strider,深海探索者
enchantment.minecraft.efficiency,Efficiency,效率
enchantment.minecraft.feather_falling,Feather Falling,摔落保护
enchantment.minecraft.fire_aspect,Fire Aspect,火焰附加
enchantment.minecraft.fire_protection,Fire Protection,火焰保护
enchantment.minecraft.flame,Flame,火矢
enchantment.minecraft.fortune,Fortune,时运
enchantment.minecraft.frost_walker,Frost Walker,冰霜行者
enchantment.minecraft.impaling,Impaling,穿刺
enchantment.minecraft.infinity,Infinity,无限
enchantment.minecraft.knockback,Knockback,击退
enchantment.minecraft.looting,Looting,抢夺
enchantment.minecraft.loyalty,Loyalty,忠诚
enchantment.minecraft.luck_of_the_sea,Luck of the Sea,海之眷顾
enchantment.minecraft.lure,Lure,饵钓
enchantment.minecraft.mending,Mending,经验修补
enchantment.minecraft.multishot,Multishot,多重射击
enchantment.minecraft.piercing,Piercing,穿透
enchantment.minecraft.power,Power,力量
enchantment.minecraft.projectile_protection,Projectile Protection,弹射物保护
enchantment.minecraft.protection,Protection,保护
enchantment.minecraft.punch,Punch,冲击
enchantment.minecraft.quick_charge,Quick Charge,快速装填
enchantment.minecraft.respiration,Respiration,水下呼吸
enchantment.minecraft.riptide,Riptide,激流
enchantment.minecraft.sharpness,Sharpness,锋利
enchantment.minecraft.silk_touch,Silk Touch,精准采集
enchantment.minecraft.smite,Smite,亡灵杀手
enchantment.minecraft.soul_speed,Soul Speed,灵魂疾行
enchantment.minecraft.sweeping,Sweeping Edge,横扫之刃
enchantment.minecraft.thorns,Thorns,荆棘
enchantment.minecraft.unbreaking,Unbreaking,耐久
enchantment.minecraft.vanishing_curse,Curse of Vanishing,消失诅咒
enchantment.unknown,Unknown enchantment: %s,未知的魔咒：%s
entity.minecraft.area_effect_cloud,Area Effect Cloud,区域效果云
entity.minecraft.armor_stand,Armor Stand,盔甲架
entity.minecraft.arrow,Arrow,箭
entity.minecraft.axolotl,Axolotl,美西螈
entity.minecraft.bat,Bat,蝙蝠
entity.minecraft.bee,Bee,蜜蜂
entity.minecraft.blaze,Blaze,烈焰人
entity.minecraft.boat,Boat,船
entity.minecraft.cat,Cat,猫
entity.minecraft.cave_spider,Cave Spider,洞穴蜘蛛
entity.minecraft.chest_minecart,Minecart with Chest,运输矿车
entity.minecraft.chicken,Chicken,鸡
entity.minecraft.cod,Cod,鳕鱼
entity.minecraft.command_block_minecart,Minecart with Command Block,命令方块矿车
entity.minecraft.cow,Cow,牛
entity.minecraft.creeper,Creeper,苦力怕
entity.minecraft.dolphin,Dolphin,海豚
entity.minecraft.donkey,Donkey,驴
entity.minecraft.dragon_fireball,Dragon Fireball,末影龙火球
entity.minecraft.drowned,Drowned,溺尸
entity.minecraft.egg,Thrown Egg,掷出的鸡蛋
entity.minecraft.elder_guardian,Elder Guardian,远古守卫者
entity.minecraft.end_crystal,End Crystal,末影水晶
entity.minecraft.ender_dragon,Ender Dragon,末影龙
entity.minecraft.ender_pearl,Thrown Ender Pearl,掷出的末影珍珠
entity.minecraft.enderman,Enderman,末影人
entity.minecraft.endermite,Endermite,末影螨
entity.minecraft.evoker,Evoker,唤魔者
entity.minecraft.evoker_fangs,Evoker Fangs,唤魔者尖牙
entity.minecraft.experience_bottle,Thrown Bottle o' Enchanting,掷出的附魔之瓶
entity.minecraft.experience_orb,Experience Orb,经验球
entity.minecraft.eye_of_ender,Eye of Ender,末影之眼
entity.minecraft.falling_block,Falling Block,下落的方块
entity.minecraft.fireball,Fireball,火球
entity.minecraft.firework_rocket,Firework Rocket,烟花火箭
entity.minecraft.fishing_bobber,Fishing Bobber,浮漂
entity.minecraft.fox,Fox,狐狸
entity.minecraft.furnace_minecart,Minecart with Furnace,动力矿车
entity.minecraft.ghast,Ghast,恶魂
entity.minecraft.giant,Giant,巨人
entity.minecraft.glow_item_frame,Glow Item Frame,荧光物品展示框
entity.minecraft.glow_squid,Glow Squid,发光鱿鱼
entity.minecraft.goat,Goat,山羊
entity.minecraft.guardian,Guardian,守卫者
entity.minecraft.hoglin,Hoglin,疣猪兽
entity.minecraft.hopper_minecart,Minecart with Hopper,漏斗矿车
entity.minecraft.horse,Horse,马
entity.minecraft.husk,Husk,尸壳
entity.minecraft.illusioner,Illusioner,幻术师
entity.minecraft.iron_golem,Iron Golem,铁傀儡
entity.minecraft.item,Item,物品
entity.minecraft.item_frame,Item Frame,物品展示框
entity.minecraft.killer_bunny,The Killer Bunny,杀手兔
entity.minecraft.leash_knot,Leash Knot,拴绳结
entity.minecraft.lightning_bolt,Lightning Bolt,闪电束
entity.minecraft.llama,Llama,羊驼
entity.minecraft.llama_spit,Llama Spit,羊驼唾沫
entity.minecraft.magma_cube,Magma Cube,岩浆怪
entity.minecraft.marker,Marker,标记
entity.minecraft.minecart,Minecart,矿车
entity.minecraft.mooshroom,Mooshroom,哞菇
entity.minecraft.mule,Mule,骡
entity.minecraft.ocelot,Ocelot,豹猫
entity.minecraft.painting,Painting,画
entity.minecraft.panda,Panda,熊猫
entity.minecraft.parrot,Parrot,鹦鹉
entity.minecraft.phantom,Phantom,幻翼
entity.minecraft.pig,Pig,猪
entity.minecraft.piglin,Piglin,猪灵
entity.minecraft.piglin_brute,Piglin Brute,猪灵蛮兵
entity.minecraft.pillager,Pillager,掠夺者
entity.minecraft.player,Player,玩家
entity.minecraft.polar_bear,Polar Bear,北极熊
entity.minecraft.potion,Potion,药水
entity.minecraft.pufferfish,Pufferfish,河豚
entity.minecraft.rabbit,Rabbit,兔子
entity.minecraft.ravager,Ravager,劫掠兽
entity.minecraft.salmon,Salmon,鲑鱼
entity.minecraft.sheep,Sheep,绵羊
entity.minecraft.shulker,Shulker,潜影贝
entity.minecraft.shulker_bullet,Shulker Bullet,潜影贝导弹
entity.minecraft.silverfish,Silverfish,蠹虫
entity.minecraft.skeleton,Skeleton,骷髅
entity.minecraft.skeleton_horse,Skeleton Horse,骷髅马
entity.minecraft.slime,Slime,史莱姆
entity.minecraft.small_fireball,Small Fireball,小火球
entity.minecraft.snow_golem,Snow Golem,雪傀儡
entity.minecraft.snowball,Snowball,雪球
entity.minecraft.spawner_minecart,Minecart with Spawner,刷怪笼矿车
entity.minecraft.spectral_arrow,Spectral Arrow,光灵箭
entity.minecraft.spider,Spider,蜘蛛
entity.minecraft.squid,Squid,鱿鱼
entity.minecraft.stray,Stray,流浪者
entity.minecraft.strider,Strider,炽足兽
entity.minecraft.tnt,Primed TNT,被激活的TNT
entity.minecraft.tnt_minecart,Minecart with TNT,TNT矿车
entity.minecraft.trader_llama,Trader Llama,行商羊驼
entity.minecraft.trident,Trident,三叉戟
entity.minecraft.tropical_fish,Tropical Fish,热带鱼
entity.minecraft.tropical_fish.predefined.0,Anemone,海葵鱼
entity.minecraft.tropical_fish.predefined.1,Black Tang,黑刺尾鲷
entity.minecraft.tropical_fish.predefined.10,Moorish Idol,镰鱼
entity.minecraft.tropical_fish.predefined.11,Ornate Butterflyfish,华丽蝴蝶鱼
entity.minecraft.tropical_fish.predefined.12,Parrotfish,鹦嘴鱼
entity.minecraft.tropical_fish.predefined.13,Queen Angelfish,额斑刺蝶鱼
entity.minecraft.tropical_fish.predefined.14,Red Cichlid,红丽鱼
entity.minecraft.tropical_fish.predefined.15,Red Lipped Blenny,红唇真蛇鳚
entity.minecraft.tropical_fish.predefined.16,Red Snapper,红边笛鲷
entity.minecraft.tropical_fish.predefined.17,Threadfin,马鲅
entity.minecraft.tropical_fish.predefined.18,Tomato Clownfish,白条双锯鱼
entity.minecraft.tropical_fish.predefined.19,Triggerfish,鳞鲀
entity.minecraft.tropical_fish.predefined.2,Blue Tang,蓝刺尾鲷
entity.minecraft.tropical_fish.predefined.20,Yellowtail Parrotfish,高鳍鹦嘴鱼
entity.minecraft.tropical_fish.predefined.21,Yellow Tang,黄刺尾鲷
entity.minecraft.tropical_fish.predefined.3,Butterflyfish,蝴蝶鱼
entity.minecraft.tropical_fish.predefined.4,Cichlid,丽鱼
entity.minecraft.tropical_fish.predefined.5,Clownfish,小丑鱼
entity.minecraft.tropical_fish.predefined.6,Cotton Candy Betta,五彩搏鱼
entity.minecraft.tropical_fish.predefined.7,Dottyback,绣雀鲷
entity.minecraft.tropical_fish.predefined.8,Emperor Red Snapper,川纹笛鲷
entity.minecraft.tropical_fish.predefined.9,Goatfish,拟羊鱼
entity.minecraft.tropical_fish.type.betty,Betty,背蒂类
entity.minecraft.tropical_fish.type.blockfish,Blockfish,方身类
entity.minecraft.tropical_fish.type.brinely,Brinely,咸水类
entity.minecraft.tropical_fish.type.clayfish,Clayfish,陶鱼类
entity.minecraft.tropical_fish.type.dasher,Dasher,速跃类
entity.minecraft.tropical_fish.type.flopper,Flopper,飞翼类
entity.minecraft.tropical_fish.type.glitter,Glitter,闪鳞类
entity.minecraft.tropical_fish.type.kob,Kob,石首类
entity.minecraft.tropical_fish.type.snooper,Snooper,窥伺类
entity.minecraft.tropical_fish.type.spotty,Spotty,多斑类
entity.minecraft.tropical_fish.type.stripey,Stripey,条纹类
entity.minecraft.tropical_fish.type.sunstreak,Sunstreak,日纹类
entity.minecraft.turtle,Turtle,海龟
entity.minecraft.vex,Vex,恼鬼
entity.minecraft.villager,Villager,村民
entity.minecraft.villager.armorer,Armorer,盔甲匠
entity.minecraft.villager.butcher,Butcher,屠夫
entity.minecraft.villager.cartographer,Cartographer,制图师
entity.minecraft.villager.cleric,Cleric,牧师
entity.minecraft.villager.farmer,Farmer,农民
entity.minecraft.villager.fisherman,Fisherman,渔夫
entity.minecraft.villager.fletcher,Fletcher,制箭师
entity.minecraft.villager.leatherworker,Leatherworker,皮匠
entity.minecraft.villager.librarian,Librarian,图书管理员
entity.minecraft.villager.mason,Mason,石匠
entity.minecraft.villager.nitwit,Nitwit,傻子
entity.minecraft.villager.none,Villager,村民
entity.minecraft.villager.shepherd,Shepherd,牧羊人
entity.minecraft.villager.toolsmith,Toolsmith,工具匠
entity.minecraft.villager.weaponsmith,Weaponsmith,武器匠
entity.minecraft.vindicator,Vindicator,卫道士
entity.minecraft.wandering_trader,Wandering Trader,流浪商人
entity.minecraft.witch,Witch,女巫
entity.minecraft.wither,Wither,凋灵
entity.minecraft.wither_skeleton,Wither Skeleton,凋灵骷髅
entity.minecraft.wither_skull,Wither Skull,凋灵之首
entity.minecraft.wolf,Wolf,狼
entity.minecraft.zoglin,Zoglin,僵尸疣猪兽
entity.minecraft.zombie,Zombie,僵尸
entity.minecraft.zombie_horse,Zombie Horse,僵尸马
entity.minecraft.zombie_villager,Zombie Villager,僵尸村民
entity.minecraft.zombified_piglin,Zombified Piglin,僵尸猪灵
entity.notFound,Unknown entity: %s,未知的实体：%s
event.minecraft.raid,Raid,袭击
event.minecraft.raid.defeat,Defeat,失败
event.minecraft.raid.raiders_remaining,Raiders Remaining: %s,剩余%s名袭击者
event.minecraft.raid.victory,Victory,胜利
filled_map.buried_treasure,Buried Treasure Map,藏宝图
filled_map.id,Id #%s,编号#%s
filled_map.level,(Level %s/%s),（等级 %s/%s）
filled_map.locked,Locked,已锁定
filled_map.mansion,Woodland Explorer Map,林地探险家地图
filled_map.monument,Ocean Explorer Map,海洋探险家地图
filled_map.scale,Scaling at 1:%s,比例尺1:%s
filled_map.unknown,Unknown Map,未知地图
gameMode.adventure,Adventure Mode,冒险模式
gameMode.changed,Your game mode has been updated to %s,你的游戏模式已被更新为%s
gameMode.creative,Creative Mode,创造模式
gameMode.hardcore,Hardcore Mode!,极限模式！
gameMode.spectator,Spectator Mode,旁观模式
gameMode.survival,Survival Mode,生存模式
gamerule.announceAdvancements,Announce advancements,进度通知
gamerule.category.chat,Chat,聊天
gamerule.category.drops,Drops,掉落
gamerule.category.misc,Miscellaneous,杂项
gamerule.category.mobs,Mobs,生物
gamerule.category.player,Player,玩家
gamerule.category.spawning,Spawning,生成
gamerule.category.updates,World Updates,世界更新
gamerule.commandBlockOutput,Broadcast command block output,广播命令方块输出
gamerule.disableElytraMovementCheck,Disable elytra movement check,禁用鞘翅移动检测
gamerule.disableRaids,Disable raids,禁用袭击
gamerule.doDaylightCycle,Advance time of day,游戏内时间流逝
gamerule.doEntityDrops,Drop entity equipment,非生物实体掉落
gamerule.doEntityDrops.description,"Controls drops from minecarts (including inventories), item frames, boats, etc.",控制矿车（包括内容物）、物品展示框、船等的物品掉落
gamerule.doFireTick,Update fire,火焰蔓延
gamerule.doImmediateRespawn,Respawn immediately,立即重生
gamerule.doInsomnia,Spawn phantoms,生成幻翼
gamerule.doLimitedCrafting,Require recipe for crafting,合成需要配方
gamerule.doLimitedCrafting.description,"If enabled, players will be able to craft only unlocked recipes",若启用，玩家只能使用已解锁的配方合成
gamerule.doMobLoot,Drop mob loot,生物战利品掉落
